age,sex,marital,income,degree,happy,health
31.0,female,never married,59542,high school,unanswered,good
81.0,female,widowed,7939,less than high school,unanswered,fair
86.0,female,widowed,33079,high school,pretty happy,unanswered
41.0,female,married,88211,high school,not too happy,good
78.0,female,widowed,9924,high school,very happy,fair
67.0,male,widowed,28668,high school,unanswered,good
56.0,female,married,72774,associate/junior college,unanswered,good
60.0,male,married,123496,bachelor's,pretty happy,unanswered
75.0,male,widowed,14334,less than high school,very happy,excellent
45.0,male,married,48516,high school,unanswered,good
67.0,female,married,33079,high school,very happy,good
70.0,male,married,,high school,unanswered,fair
62.0,female,married,28668,high school,very happy,unanswered
84.0,male,married,24258,less than high school,pretty happy,fair
39.0,female,married,72774,graduate,very happy,unanswered
45.0,male,married,72774,high school,unanswered,excellent
57.0,female,married,59542,high school,unanswered,excellent
63.0,female,married,,graduate,unanswered,good
66.0,female,divorced,28668,high school,very happy,unanswered
78.0,female,widowed,,less than high school,unanswered,excellent
28.0,male,married,48516,associate/junior college,pretty happy,good
50.0,male,never married,1764,high school,pretty happy,unanswered
55.0,female,divorced,20950,less than high school,unanswered,fair
27.0,male,never married,,bachelor's,unanswered,excellent
81.0,male,married,88211,graduate,very happy,unanswered
61.0,female,married,28668,bachelor's,unanswered,excellent
77.0,male,married,,high school,very happy,fair
85.0,male,married,28668,high school,unanswered,fair
39.0,male,divorced,88211,high school,pretty happy,good
30.0,female,divorced,59542,high school,unanswered,good
36.0,female,never married,33079,bachelor's,unanswered,good
50.0,male,never married,,bachelor's,unanswered,unanswered
22.0,male,divorced,14334,high school,unanswered,excellent
78.0,female,married,24258,less than high school,very happy,unanswered
84.0,male,widowed,48516,high school,not too happy,good
78.0,male,married,,high school,unanswered,good
25.0,female,married,72774,high school,very happy,unanswered
50.0,male,never married,16539,bachelor's,pretty happy,excellent
20.0,female,never married,,high school,pretty happy,excellent
34.0,male,never married,33079,less than high school,pretty happy,unanswered
46.0,male,never married,48516,high school,pretty happy,unanswered
72.0,female,divorced,7939,less than high school,very happy,unanswered
69.0,female,married,,high school,unanswered,fair
24.0,female,never married,3087,less than high school,not too happy,unanswered
38.0,female,separated,,associate/junior college,pretty happy,fair
65.0,male,divorced,88211,graduate,unanswered,good
73.0,female,widowed,,less than high school,very happy,good
54.0,male,never married,59542,graduate,unanswered,excellent
50.0,male,married,59542,high school,unanswered,excellent
42.0,female,married,,high school,very happy,good
69.0,male,divorced,123496,bachelor's,very happy,unanswered
26.0,female,never married,24258,less than high school,pretty happy,unanswered
66.0,female,divorced,20950,bachelor's,very happy,excellent
31.0,female,married,72774,bachelor's,pretty happy,good
30.0,male,never married,12129,high school,pretty happy,good
58.0,female,divorced,24258,high school,unanswered,good
41.0,male,never married,28668,less than high school,pretty happy,unanswered
43.0,male,never married,24258,high school,very happy,good
53.0,male,married,72774,less than high school,unanswered,excellent
31.0,male,never married,18745,less than high school,pretty happy,fair
51.0,female,married,88211,associate/junior college,pretty happy,excellent
51.0,female,married,,high school,pretty happy,unanswered
28.0,male,married,24258,less than high school,pretty happy,unanswered
55.0,male,married,39695,bachelor's,pretty happy,unanswered
54.0,male,divorced,105852,graduate,not too happy,good
23.0,male,divorced,20950,high school,pretty happy,excellent
48.0,male,never married,5734,high school,unanswered,fair
67.0,female,widowed,12129,bachelor's,very happy,unanswered
43.0,male,never married,14334,high school,not too happy,fair
64.0,female,never married,24258,associate/junior college,pretty happy,unanswered
36.0,female,divorced,18745,high school,not too happy,good
27.0,female,married,18745,less than high school,pretty happy,good
63.0,female,married,59542,high school,unanswered,fair
75.0,male,married,,high school,very happy,good
27.0,female,married,39695,high school,pretty happy,good
67.0,male,married,39695,bachelor's,pretty happy,unanswered
24.0,male,never married,72774,high school,unanswered,excellent
75.0,male,widowed,,high school,pretty happy,poor
31.0,male,married,59542,bachelor's,pretty happy,excellent
22.0,female,never married,24258,high school,pretty happy,unanswered
64.0,female,divorced,,less than high school,not too happy,unanswered
48.0,female,divorced,9924,high school,unanswered,good
28.0,female,married,59542,high school,unanswered,excellent
65.0,female,married,24258,high school,very happy,excellent
39.0,male,never married,,associate/junior college,pretty happy,unanswered
19.0,female,never married,72774,high school,pretty happy,unanswered
47.0,male,married,123496,bachelor's,unanswered,excellent
27.0,female,never married,,high school,unanswered,good
47.0,female,married,33079,high school,not too happy,fair
64.0,female,married,72774,high school,unanswered,good
51.0,male,married,72774,associate/junior college,pretty happy,excellent
29.0,female,married,,bachelor's,very happy,excellent
43.0,female,married,48516,bachelor's,very happy,excellent
19.0,male,never married,105852,high school,very happy,excellent
28.0,female,married,,associate/junior college,very happy,excellent
49.0,female,married,,high school,unanswered,excellent
42.0,female,divorced,39695,high school,unanswered,fair
48.0,female,married,39695,high school,pretty happy,excellent
65.0,female,married,20950,less than high school,pretty happy,poor
24.0,female,married,33079,high school,very happy,good
21.0,male,divorced,39695,high school,unanswered,good
46.0,female,married,178266,graduate,very happy,excellent
28.0,male,married,72774,associate/junior college,unanswered,good
27.0,male,married,48516,high school,pretty happy,good
33.0,male,married,59542,high school,unanswered,good
58.0,male,married,105852,associate/junior college,very happy,excellent
44.0,male,married,123496,high school,very happy,fair
47.0,female,never married,48516,associate/junior college,pretty happy,good
57.0,female,never married,28668,high school,pretty happy,excellent
40.0,female,divorced,39695,graduate,pretty happy,unanswered
57.0,male,married,59542,high school,pretty happy,fair
72.0,male,widowed,88211,graduate,very happy,excellent
52.0,female,married,48516,high school,not too happy,unanswered
33.0,female,married,88211,associate/junior college,very happy,fair
41.0,female,married,39695,high school,pretty happy,excellent
35.0,male,married,48516,high school,pretty happy,unanswered
58.0,male,married,105852,high school,unanswered,good
58.0,male,married,48516,high school,unanswered,good
42.0,male,married,72774,high school,pretty happy,excellent
52.0,female,married,88211,bachelor's,unanswered,excellent
57.0,male,married,72774,graduate,pretty happy,good
48.0,male,married,178266,high school,pretty happy,unanswered
79.0,female,widowed,,high school,unanswered,good
37.0,male,married,48516,graduate,unanswered,excellent
38.0,female,married,72774,high school,very happy,excellent
23.0,female,never married,14334,high school,unanswered,good
37.0,female,divorced,39695,associate/junior college,pretty happy,unanswered
79.0,male,married,39695,bachelor's,very happy,good
76.0,male,married,88211,bachelor's,unanswered,excellent
48.0,male,married,178266,high school,very happy,excellent
52.0,female,divorced,39695,graduate,pretty happy,excellent
62.0,male,married,178266,graduate,unanswered,excellent
75.0,male,widowed,48516,graduate,not too happy,excellent
58.0,male,married,48516,high school,pretty happy,unanswered
46.0,female,married,178266,graduate,very happy,unanswered
72.0,male,widowed,33079,less than high school,pretty happy,good
73.0,female,widowed,59542,high school,pretty happy,excellent
85.0,female,widowed,178266,graduate,unanswered,good
58.0,male,married,88211,high school,pretty happy,unanswered
22.0,female,never married,24258,high school,unanswered,excellent
43.0,female,divorced,59542,high school,pretty happy,unanswered
67.0,female,married,33079,bachelor's,very happy,unanswered
32.0,female,never married,39695,bachelor's,unanswered,excellent
64.0,female,married,24258,high school,pretty happy,good
31.0,male,divorced,39695,high school,unanswered,good
89.0,female,widowed,12129,less than high school,unanswered,good
47.0,male,never married,,high school,unanswered,excellent
26.0,female,never married,33079,high school,pretty happy,good
46.0,male,divorced,18745,less than high school,unanswered,good
76.0,female,divorced,7939,less than high school,unanswered,good
40.0,male,married,59542,high school,pretty happy,good
39.0,female,divorced,12129,associate/junior college,pretty happy,fair
36.0,male,married,33079,high school,unanswered,fair
49.0,female,widowed,18745,less than high school,pretty happy,unanswered
65.0,female,widowed,72774,high school,pretty happy,unanswered
27.0,male,divorced,9924,high school,not too happy,good
52.0,male,divorced,3969,high school,pretty happy,excellent
23.0,female,never married,14334,less than high school,pretty happy,good
22.0,female,never married,28668,high school,pretty happy,unanswered
31.0,female,never married,14334,graduate,unanswered,good
41.0,male,divorced,14334,less than high school,unanswered,good
26.0,female,never married,7939,less than high school,pretty happy,unanswered
44.0,male,divorced,14334,less than high school,pretty happy,poor
71.0,male,divorced,7939,high school,not too happy,unanswered
81.0,female,divorced,5734,less than high school,pretty happy,unanswered
60.0,female,never married,48516,graduate,unanswered,good
51.0,male,married,48516,less than high school,unanswered,fair
28.0,male,never married,12129,less than high school,very happy,unanswered
41.0,female,widowed,59542,associate/junior college,pretty happy,unanswered
29.0,male,married,,high school,pretty happy,unanswered
34.0,female,never married,88211,graduate,very happy,good
89.0,female,widowed,14334,high school,pretty happy,good
47.0,male,divorced,178266,high school,pretty happy,good
30.0,male,married,88211,graduate,pretty happy,excellent
36.0,male,married,72774,bachelor's,unanswered,good
27.0,male,married,48516,bachelor's,unanswered,excellent
24.0,male,never married,24258,associate/junior college,not too happy,good
31.0,male,never married,28668,graduate,pretty happy,good
19.0,male,never married,12129,high school,unanswered,excellent
22.0,female,never married,4852,high school,unanswered,excellent
69.0,female,married,,high school,very happy,unanswered
34.0,male,married,105852,bachelor's,very happy,excellent
51.0,female,married,88211,bachelor's,unanswered,good
46.0,female,married,178266,bachelor's,very happy,good
48.0,male,married,,high school,very happy,excellent
60.0,female,married,123496,high school,very happy,excellent
48.0,male,married,178266,bachelor's,unanswered,excellent
57.0,male,married,,graduate,very happy,unanswered
60.0,female,married,48516,high school,pretty happy,good
53.0,female,divorced,28668,high school,pretty happy,good
52.0,female,never married,28668,high school,pretty happy,unanswered
27.0,female,never married,20950,high school,unanswered,good
49.0,female,divorced,14334,high school,pretty happy,unanswered
24.0,male,married,39695,high school,pretty happy,excellent
37.0,female,divorced,33079,bachelor's,pretty happy,good
40.0,female,married,88211,bachelor's,unanswered,excellent
36.0,male,married,39695,graduate,pretty happy,unanswered
32.0,female,married,39695,high school,unanswered,good
44.0,female,married,105852,bachelor's,unanswered,good
68.0,male,divorced,72774,bachelor's,very happy,excellent
72.0,female,never married,24258,high school,unanswered,fair
34.0,female,married,48516,high school,unanswered,good
35.0,male,married,72774,bachelor's,very happy,good
31.0,female,never married,39695,bachelor's,very happy,excellent
47.0,female,divorced,48516,associate/junior college,unanswered,good
79.0,male,married,33079,high school,pretty happy,unanswered
35.0,female,married,48516,high school,very happy,excellent
51.0,female,married,39695,high school,pretty happy,excellent
72.0,male,married,33079,high school,pretty happy,good
87.0,male,married,33079,high school,pretty happy,unanswered
51.0,male,married,,high school,very happy,unanswered
27.0,female,married,59542,bachelor's,very happy,good
47.0,female,married,39695,high school,unanswered,good
31.0,female,married,33079,high school,pretty happy,fair
47.0,male,divorced,72774,high school,unanswered,good
36.0,male,married,39695,high school,unanswered,good
35.0,female,married,39695,high school,pretty happy,good
45.0,female,married,178266,bachelor's,pretty happy,good
45.0,female,divorced,105852,bachelor's,very happy,good
32.0,male,married,123496,bachelor's,pretty happy,good
45.0,male,married,178266,bachelor's,pretty happy,unanswered
54.0,female,married,105852,high school,pretty happy,excellent
50.0,female,married,123496,high school,pretty happy,unanswered
64.0,male,divorced,33079,high school,pretty happy,excellent
28.0,male,married,,high school,pretty happy,good
25.0,male,divorced,39695,high school,not too happy,good
36.0,female,married,88211,graduate,very happy,good
74.0,female,widowed,59542,high school,very happy,good
54.0,male,separated,39695,high school,pretty happy,good
69.0,male,divorced,,graduate,pretty happy,unanswered
59.0,female,married,88211,bachelor's,very happy,unanswered
27.0,female,never married,16539,high school,pretty happy,good
39.0,female,separated,72774,graduate,very happy,good
28.0,male,never married,39695,bachelor's,pretty happy,unanswered
26.0,female,married,9924,high school,unanswered,excellent
73.0,female,married,,high school,unanswered,fair
82.0,female,widowed,7939,less than high school,not too happy,good
32.0,female,married,20950,associate/junior college,unanswered,good
43.0,female,divorced,48516,high school,not too happy,unanswered
54.0,female,married,,high school,pretty happy,good
20.0,female,never married,1764,high school,unanswered,good
83.0,female,married,,bachelor's,not too happy,good
60.0,female,married,,high school,pretty happy,good
47.0,male,married,72774,high school,pretty happy,fair
47.0,male,married,48516,high school,pretty happy,unanswered
49.0,male,divorced,72774,high school,unanswered,good
47.0,male,married,105852,bachelor's,pretty happy,good
45.0,male,married,72774,bachelor's,very happy,excellent
59.0,female,married,,high school,very happy,fair
71.0,female,married,24258,high school,very happy,unanswered
78.0,male,married,18745,high school,very happy,good
75.0,male,married,16539,high school,very happy,excellent
33.0,male,married,59542,graduate,pretty happy,excellent
38.0,male,married,88211,graduate,very happy,excellent
37.0,male,married,59542,bachelor's,pretty happy,good
34.0,male,never married,28668,high school,pretty happy,unanswered
49.0,female,divorced,39695,graduate,unanswered,excellent
56.0,female,never married,33079,graduate,not too happy,good
32.0,male,married,28668,high school,pretty happy,good
72.0,male,married,16539,bachelor's,pretty happy,fair
30.0,male,separated,16539,associate/junior college,pretty happy,good
30.0,female,married,59542,bachelor's,pretty happy,unanswered
23.0,male,never married,14334,bachelor's,very happy,excellent
36.0,male,married,39695,high school,pretty happy,unanswered
27.0,female,married,72774,high school,unanswered,good
56.0,male,divorced,14334,high school,not too happy,fair
39.0,female,married,28668,less than high school,not too happy,unanswered
46.0,female,married,178266,associate/junior college,very happy,unanswered
55.0,male,married,39695,high school,pretty happy,good
30.0,male,married,39695,bachelor's,pretty happy,unanswered
66.0,male,married,33079,less than high school,pretty happy,unanswered
19.0,female,never married,,high school,pretty happy,unanswered
40.0,male,never married,48516,high school,unanswered,fair
40.0,female,divorced,59542,high school,unanswered,excellent
38.0,female,divorced,24258,associate/junior college,unanswered,fair
65.0,female,married,,high school,very happy,excellent
43.0,female,married,88211,bachelor's,pretty happy,unanswered
33.0,female,married,,bachelor's,very happy,unanswered
72.0,female,widowed,59542,high school,not too happy,good
22.0,male,never married,72774,high school,not too happy,excellent
57.0,female,married,,high school,very happy,excellent
32.0,male,married,59542,associate/junior college,pretty happy,excellent
55.0,female,married,16539,high school,pretty happy,fair
52.0,female,married,72774,graduate,pretty happy,good
71.0,female,widowed,33079,less than high school,pretty happy,good
67.0,female,married,72774,graduate,unanswered,excellent
57.0,female,never married,28668,bachelor's,pretty happy,unanswered
76.0,female,married,72774,high school,very happy,unanswered
30.0,female,married,39695,bachelor's,pretty happy,excellent
76.0,female,married,,less than high school,unanswered,poor
33.0,female,married,48516,bachelor's,very happy,unanswered
47.0,female,married,88211,high school,pretty happy,fair
65.0,female,divorced,,bachelor's,unanswered,excellent
54.0,female,never married,6616,high school,unanswered,poor
23.0,male,never married,14334,high school,pretty happy,fair
51.0,male,never married,33079,graduate,unanswered,excellent
23.0,female,never married,18745,high school,very happy,excellent
27.0,male,never married,28668,high school,very happy,unanswered
22.0,male,never married,1764,high school,not too happy,good
52.0,male,divorced,7939,less than high school,pretty happy,poor
61.0,female,separated,72774,bachelor's,pretty happy,fair
54.0,female,divorced,39695,associate/junior college,not too happy,poor
29.0,female,married,,high school,unanswered,excellent
28.0,male,married,48516,high school,pretty happy,good
30.0,female,never married,18745,associate/junior college,unanswered,fair
38.0,male,never married,3087,less than high school,not too happy,unanswered
36.0,male,never married,24258,high school,pretty happy,good
57.0,female,divorced,12129,high school,unanswered,fair
50.0,female,married,14334,bachelor's,unanswered,excellent
26.0,male,never married,105852,bachelor's,unanswered,excellent
24.0,female,never married,59542,bachelor's,unanswered,excellent
63.0,male,married,48516,graduate,very happy,unanswered
54.0,female,divorced,72774,graduate,pretty happy,good
55.0,female,divorced,48516,associate/junior college,pretty happy,good
52.0,female,married,,high school,very happy,fair
36.0,female,never married,28668,associate/junior college,pretty happy,good
19.0,female,never married,,less than high school,unanswered,fair
48.0,male,divorced,123496,bachelor's,unanswered,good
44.0,male,divorced,39695,bachelor's,pretty happy,unanswered
26.0,male,never married,12129,associate/junior college,pretty happy,unanswered
55.0,male,married,178266,graduate,not too happy,good
50.0,female,divorced,123496,graduate,not too happy,good
23.0,male,never married,7939,high school,unanswered,excellent
53.0,male,married,39695,high school,unanswered,good
53.0,female,married,88211,high school,pretty happy,good
18.0,female,never married,178266,less than high school,pretty happy,good
50.0,male,divorced,7939,high school,pretty happy,fair
27.0,female,married,72774,graduate,very happy,excellent
21.0,male,never married,105852,high school,not too happy,poor
43.0,male,married,59542,high school,pretty happy,good
54.0,female,divorced,59542,graduate,pretty happy,good
85.0,female,married,,associate/junior college,unanswered,good
44.0,male,married,88211,bachelor's,pretty happy,good
44.0,female,married,123496,high school,pretty happy,unanswered
54.0,male,married,59542,bachelor's,unanswered,good
60.0,female,married,,graduate,very happy,good
40.0,male,married,,high school,unanswered,excellent
59.0,female,married,88211,high school,pretty happy,fair
36.0,male,married,59542,associate/junior college,unanswered,excellent
41.0,male,married,48516,high school,very happy,excellent
33.0,male,separated,39695,high school,pretty happy,unanswered
35.0,male,married,105852,bachelor's,very happy,unanswered
49.0,female,married,,high school,unanswered,excellent
20.0,male,never married,24258,high school,pretty happy,fair
56.0,male,married,59542,high school,unanswered,fair
47.0,female,divorced,24258,high school,pretty happy,good
30.0,male,never married,178266,high school,unanswered,good
20.0,female,never married,18745,high school,pretty happy,good
44.0,female,divorced,39695,associate/junior college,unanswered,excellent
60.0,female,married,72774,less than high school,pretty happy,good
56.0,female,married,178266,high school,unanswered,good
44.0,male,married,39695,high school,pretty happy,unanswered
45.0,male,married,178266,high school,very happy,unanswered
39.0,female,married,178266,bachelor's,very happy,excellent
28.0,male,married,88211,high school,unanswered,excellent
46.0,female,married,178266,bachelor's,very happy,excellent
25.0,female,never married,28668,graduate,pretty happy,excellent
45.0,male,never married,39695,graduate,pretty happy,good
59.0,male,never married,48516,high school,unanswered,excellent
39.0,female,separated,441,high school,unanswered,good
31.0,male,married,9924,less than high school,not too happy,fair
25.0,male,never married,39695,associate/junior college,pretty happy,fair
51.0,male,never married,59542,graduate,very happy,excellent
23.0,male,never married,4852,high school,pretty happy,unanswered
36.0,female,married,,less than high school,unanswered,fair
50.0,female,divorced,18745,high school,unanswered,good
50.0,female,divorced,24258,high school,pretty happy,excellent
70.0,female,widowed,12129,high school,unanswered,excellent
29.0,female,married,59542,bachelor's,unanswered,excellent
39.0,male,married,59542,associate/junior college,pretty happy,fair
27.0,male,never married,20950,high school,not too happy,unanswered
51.0,male,married,48516,high school,very happy,good
61.0,male,married,33079,high school,pretty happy,fair
23.0,female,married,33079,high school,very happy,good
82.0,male,widowed,48516,bachelor's,pretty happy,fair
47.0,female,never married,39695,associate/junior college,pretty happy,unanswered
30.0,male,separated,59542,less than high school,pretty happy,excellent
25.0,male,married,33079,bachelor's,pretty happy,excellent
32.0,male,never married,28668,high school,pretty happy,unanswered
35.0,male,married,24258,high school,pretty happy,good
75.0,female,married,88211,bachelor's,unanswered,excellent
84.0,male,widowed,24258,bachelor's,pretty happy,fair
53.0,female,married,88211,high school,unanswered,good
54.0,male,never married,,bachelor's,pretty happy,excellent
30.0,male,never married,39695,graduate,pretty happy,good
81.0,female,widowed,48516,bachelor's,unanswered,fair
39.0,male,divorced,123496,graduate,pretty happy,unanswered
56.0,female,married,178266,associate/junior college,very happy,good
34.0,female,married,178266,bachelor's,unanswered,excellent
77.0,female,married,39695,high school,unanswered,poor
80.0,male,widowed,59542,bachelor's,unanswered,good
34.0,male,divorced,72774,bachelor's,pretty happy,excellent
82.0,male,widowed,105852,graduate,unanswered,poor
26.0,female,married,59542,bachelor's,pretty happy,unanswered
48.0,male,married,59542,graduate,pretty happy,unanswered
39.0,female,never married,123496,bachelor's,pretty happy,unanswered
43.0,female,never married,48516,graduate,unanswered,excellent
22.0,female,never married,7939,bachelor's,pretty happy,good
39.0,female,divorced,39695,high school,pretty happy,excellent
25.0,female,married,105852,associate/junior college,unanswered,good
33.0,male,never married,59542,bachelor's,not too happy,unanswered
45.0,female,married,59542,associate/junior college,pretty happy,fair
86.0,female,married,24258,high school,very happy,good
46.0,female,married,,high school,pretty happy,good
28.0,female,married,24258,less than high school,unanswered,good
21.0,male,never married,4852,high school,unanswered,good
72.0,female,divorced,12129,high school,pretty happy,good
26.0,male,never married,3087,high school,pretty happy,good
26.0,male,never married,14334,graduate,pretty happy,unanswered
31.0,female,married,33079,high school,very happy,unanswered
24.0,female,never married,6616,high school,pretty happy,unanswered
64.0,male,never married,6616,high school,unanswered,fair
72.0,male,separated,7939,high school,unanswered,good
34.0,female,married,33079,associate/junior college,very happy,unanswered
32.0,female,married,33079,high school,pretty happy,good
59.0,female,divorced,,bachelor's,pretty happy,good
72.0,female,divorced,12129,bachelor's,pretty happy,fair
24.0,female,never married,,bachelor's,pretty happy,good
48.0,female,married,24258,high school,pretty happy,poor
44.0,female,married,24258,high school,unanswered,excellent
35.0,male,divorced,72774,high school,pretty happy,good
53.0,female,married,48516,high school,pretty happy,poor
25.0,female,divorced,48516,bachelor's,pretty happy,unanswered
26.0,female,married,16539,graduate,unanswered,excellent
59.0,male,divorced,9924,high school,pretty happy,good
32.0,male,married,39695,high school,not too happy,excellent
57.0,female,never married,3969,high school,unanswered,good
51.0,male,divorced,,less than high school,unanswered,poor
44.0,male,married,7939,high school,unanswered,poor
47.0,female,divorced,20950,high school,unanswered,fair
36.0,female,separated,12129,high school,pretty happy,fair
48.0,female,separated,24258,high school,unanswered,fair
37.0,female,never married,28668,bachelor's,pretty happy,good
48.0,female,married,24258,high school,unanswered,excellent
45.0,male,married,39695,high school,pretty happy,unanswered
38.0,female,divorced,28668,high school,unanswered,good
52.0,female,married,28668,high school,unanswered,good
42.0,female,married,59542,high school,pretty happy,good
39.0,female,never married,24258,high school,not too happy,poor
57.0,female,widowed,16539,graduate,pretty happy,unanswered
78.0,female,never married,178266,graduate,unanswered,excellent
43.0,male,married,178266,bachelor's,pretty happy,good
36.0,female,married,39695,high school,very happy,excellent
50.0,male,married,,graduate,very happy,excellent
30.0,male,never married,33079,bachelor's,pretty happy,fair
49.0,female,married,105852,high school,very happy,unanswered
